,ticker,date,open,high,low,close,volume,dividend,split,adj_close,sma,rsi,slowd,slowk,roc,willr,std,mom,adx,obv,atr,cci,macd,trix,next_close,direction
25,SPY,2010-08-13,108.2900,108.9600,108.1800,108.3100,158383281,0.0000,1.0000,88.5126,111.2671,42.6819,31.5265,11.8721,-2.9132,-87.2760,2.398600000000002,-3.2500,16.0198,1898631573.0000,1.7656,-139.5824,0.3602,0.1268,108.2600,-1
26,SPY,2010-08-16,107.5700,108.6100,107.1800,108.2600,147556208,0.0000,1.0000,88.4717,111.0321,42.5125,19.2126,16.6012,-2.9494,-82.0000,2.6589000000000027,-3.2900,17.1288,1751075365.0000,1.7416,-130.0585,0.1524,0.1082,109.5900,1
27,SPY,2010-08-17,109.1900,110.3900,108.8800,109.5900,172118257,0.0000,1.0000,89.5586,110.9436,48.3784,20.6028,33.3352,-1.1188,-59.8333,2.7164999999999964,-1.2400,16.9176,1923193622.0000,1.7694,-51.3825,0.0940,0.0910,109.7900,1
28,SPY,2010-08-18,109.5400,110.3800,108.9100,109.7900,182533533,0.0000,1.0000,89.7221,110.9079,49.2176,35.3777,56.1967,-0.4534,-56.5000,2.742600000000003,-0.5000,16.7215,2105727155.0000,1.7480,-44.2682,0.0631,0.0757,107.8800,-1
29,SPY,2010-08-19,109.2200,109.4900,107.4300,107.8800,265766788,0.0000,1.0000,88.1612,110.7371,42.1678,48.9302,57.2587,-2.1674,-88.3333,2.9773500000000013,-2.3900,17.2320,1839960367.0000,1.7917,-89.8830,-0.1141,0.0581,107.5300,-1
30,SPY,2010-08-20,107.5600,107.9400,106.7500,107.5300,209556423,0.0000,1.0000,87.8752,110.3636,41.0086,51.6567,41.5146,-4.6382,-87.8694,3.0895999999999972,-5.2300,17.9939,1630403944.0000,1.7487,-105.3730,-0.2797,0.0390,107.1200,-1
31,SPY,2010-08-23,108.0400,108.5700,107.0700,107.1200,163097648,0.0000,1.0000,87.5401,109.9993,39.6341,38.8578,17.8001,-4.5446,-94.2457,3.222449999999995,-5.1000,18.2430,1467306296.0000,1.7309,-88.7049,-0.4389,0.0189,105.5300,-1
32,SPY,2010-08-24,105.9500,106.3900,104.9700,105.5300,280534115,0.0000,1.0000,86.2407,109.4679,34.7674,24.4321,13.9815,-6.5858,-93.1790,3.397100000000002,-7.4400,19.3302,1186772181.0000,1.7609,-143.8916,-0.6854,-0.0045,105.9400,1
33,SPY,2010-08-25,104.9500,106.3400,104.2900,105.9400,272169169,0.0000,1.0000,86.5758,108.9743,36.9184,16.3991,17.4156,-6.1232,-81.4398,3.3397999999999968,-6.9100,20.5799,1458941350.0000,1.7815,-130.0597,-0.8381,-0.0278,105.2300,-1
34,SPY,2010-08-26,106.4400,106.5800,104.8800,105.2300,224219048,0.0000,1.0000,85.9956,108.4629,34.7797,17.5818,21.3482,-6.3707,-89.4263,3.3081499999999977,-7.1600,21.5562,1234722302.0000,1.7757,-118.1351,-1.0048,-0.0516,106.8600,1
