,ticker,date,open,high,low,close,volume,dividend,split,adj_close,sma,rsi,slowd,slowk,roc,willr,std,next_close,direction
34,AAPL,12/2/2016,109.17,110.09,108.85,109.9,26527997,0,1,104.4439,110.165,44.7294,32.4239,20.4088,1.3557,-30.5903,2.6125,109.11,-1
35,AMZN,12/2/2016,743.4,748.4903,736.7,740.34,3561307,0,1,740.34,758.2164,38.304,5.7155,7.1481,0.18,-63.2564,27.66865,759.36,1
36,AXP,12/2/2016,72.52,72.66,71.43,71.86,2959077,0,1,67.7839,72.0286,62.0588,42.1743,44.8582,1.9291,-51.6634,0.7937,72.03,1
37,BAC,12/2/2016,21.49,21.5,21.02,21.23,128447563,0,1,19.8001,20.4686,74.2509,62.5849,74.9607,11.6193,-27.9528,0.74685,21.84,1
38,BK,12/2/2016,48.45,48.57,47.58,47.65,4578940,0,1,44.1383,47.4936,64.1579,55.1359,68.5109,1.9688,-52.8497,0.58565,47.86,1
39,JPM,12/2/2016,81.8,81.83,80.9,81.6,16931484,0,1,73.6596,79.0764,78.4356,78.3498,86.3131,6.4024,-12.5764,1.92455,83.26,1
40,KO,12/2/2016,40.3,40.495,40.19,40.36,11176080,0,1,35.9445,41.0757,37.7161,20.367,13.438,-1.633,-74.8691,0.6827,40.62,1
41,MCO,12/2/2016,97.12,97.98,96.22,97.62,1053743,0,1,94.0358,100.1293,34.905,21.5705,13.1941,-2.8076,-76.0274,2.00605,96.83,-1
42,SPY,12/2/2016,219.67,220.25,219.26,219.68,74840347,0,1,204.1481,219.5857,59.5063,36.5988,22.0051,1.5063,-35.082,1.99,221,1
43,USB,12/2/2016,50.35,50.42,49.84,50,5864800,0,1,44.9292,49.1643,71.2136,66.2055,79.5509,4.3841,-20.462,0.8903,50.36,1
44,WFC,12/2/2016,54.24,54.27,53.31,53.58,21894267,0,1,47.2216,52.5857,66.5336,67.7489,84.4413,3.5763,-25.3561,1.1005,54.35,1
45,AAPL,12/5/2016,110,110.03,108.25,109.11,34324540,0,1,103.6932,110.4079,41.7917,23.9616,21.4031,3.2163,-53.2058,1.91875,109.95,1
46,AMZN,12/5/2016,745,761.49,742,759.36,4314723,0,1,759.36,761.0943,46.4735,14.062,29.6137,5.6031,-49.7515,22.3795,764.72,1
47,AXP,12/5/2016,72.33,72.64,71.99,72.03,3929106,0,1,67.9443,72.0007,62.8357,45.1497,48.2182,-0.5385,-47.7178,0.7769,72.31,1
48,BAC,12/5/2016,21.47,21.869,21.46,21.84,130377307,0,1,20.369,20.5943,77.6232,71.1475,75.3452,8.7649,-4.2735,0.89455,22.16,1
49,BK,12/5/2016,48.21,48.51,47.75,47.86,6645250,0,1,44.3328,47.5171,65.3481,65.2351,65.3916,0.6943,-41.9689,0.60265,47.99,1
50,JPM,12/5/2016,82.3,83.29,82.29,83.26,18529840,0,1,75.1581,79.3443,81.5305,86.0471,90.6545,4.7164,-0.468,2.51495,83.69,1
51,KO,12/5/2016,40.34,40.69,40.31,40.62,15977847,0,1,36.176,41.0364,41.4102,17.4137,28.4787,-1.3359,-61.2565,0.70325,40.57,-1
52,MCO,12/5/2016,98.39,98.75,96.7,96.83,1270217,0,1,93.2748,99.8986,32.5349,15.7372,13.0568,-3.2281,-89.5548,2.3776,96.91,1
53,SPY,12/5/2016,220.65,221.4,220.42,221,67837821,0,1,205.3748,219.9007,64.0281,31.2811,34.9563,2.0361,-16.3347,1.6174,221.7,1
54,USB,12/5/2016,50.41,50.63,50.19,50.36,7209623,0,1,45.2527,49.2807,72.9703,76.6393,79.0459,3.345,-8.8816,0.9806,50.73,1
55,WFC,12/5/2016,53.9,54.53,53.87,54.35,24793902,0,1,47.9002,52.6664,69.0959,81.5855,86.9408,2.1233,-5.042,1.27755,55.55,1
56,AAPL,12/6/2016,109.5,110.36,109.19,109.95,26195462,0,1,104.4915,110.6107,45.8631,24.3657,31.2853,2.6515,-42.8815,1.3693,111.03,1
57,AMZN,12/6/2016,763.99,768.24,757.25,764.72,3794746,0,1,764.72,762.6286,48.5415,30.7145,55.3818,2.89,-48.741,21.1288,770.42,1
58,AXP,12/6/2016,72.47,72.74,72.08,72.31,3843944,0,1,68.2084,71.9893,64.1383,47.3075,48.846,-0.2208,-36.0996,0.7637,74.29,1
59,BAC,12/6/2016,22.09,22.16,21.72,22.16,120789194,0,1,20.6675,20.7371,79.1648,78.1098,84.0237,9.9206,0,1.05735,22.57,1
60,BK,12/6/2016,48.14,48.23,47.58,47.99,5772259,0,1,44.4532,47.5214,66.0987,61.0444,49.2308,0.1252,-37.1585,0.60965,48.55,1
61,JPM,12/6/2016,83.6,83.81,82.43,83.69,16130043,0,1,75.5463,79.6536,82.2415,90.1587,93.5084,5.4561,-1.7316,3.02405,84.07,1
